id	name	image	biog	url_key
2	999	NULL	NULL	jfw6m
3	1919	NULL	NULL	fb9x2
4	...And You Will Know Us By The Trail Of Dead	NULL	NULL	bwdpn
5	1,000 Violins	NULL	NULL	w963q
6	10 5 Neuton	NULL	NULL	9dxm5
7	10,000 Maniacs	NULL	NULL	d6p28
8	13th Hole	NULL	NULL	6x3nv
9	14 Iced Bears	NULL	NULL	xpmq4
10	18th Dye	NULL	NULL	p325c
11	20th Century Steel Band	NULL	NULL	3mn8r
12	21 Guns	NULL	NULL	m2qvh
13	22-20s	NULL	NULL	2n54z
14	23 Skidoo	NULL	NULL	nq8cg
15	25BZ	NULL	NULL	q5vrj
16	25th of May	NULL	NULL	584hf
17	2TV	NULL	NULL	8vczb
18	3 Inches of Blood	NULL	NULL	v4rgw
19	3 Mustaphas 3	NULL	NULL	4chj9
20	35 Summers	NULL	NULL	crzfd
21	3D	NULL	NULL	rhgb6
22	3Ds	NULL	NULL	hzjwx
23	400 Blows	NULL	NULL	zgf9p
24	5TA	NULL	NULL	gfw6m
25	60ft Dolls	NULL	NULL	jb9x2
26	65 Days Of Static	NULL	NULL	fwdpn
27	7 Year Bitch	NULL	NULL	b963q
28	70 Gwen Party	NULL	NULL	wdxm5
29	808 State	NULL	NULL	96p28
30	90 Day Men	NULL	NULL	dx3nv
31	A Band Called O	NULL	NULL	6pmq4
32	A C Acoustics	NULL	NULL	x325c
33	A Certain Ratio	NULL	NULL	pmn8r
34	A Flock Of Seagulls	NULL	NULL	32qvh
35	A Formal Sigh	NULL	NULL	mn54z
36	A Guy Called Gerald	NULL	NULL	2q8cg
37	A Homeboy A Hippie & A Funky Dread	NULL	NULL	n5vrj
38	A House	NULL	NULL	q84hf
39	A Popular History Of Signs	NULL	NULL	5vczb
40	A R E Weapons	NULL	NULL	84rgw
41	A Witness	NULL	NULL	vchj9
42	Aaviko	NULL	NULL	4rzfd
43	AC Acoustics	NULL	NULL	chgb6
44	AC Temple	NULL	NULL	rzjwx
45	AC/DC	NULL	NULL	hgf9p
46	Ace	NULL	NULL	zjbd3
47	Acqua Vista	NULL	NULL	gb9x2
48	Action Pact	NULL	NULL	jwdpn
49	Action Swingers	NULL	NULL	f963q
50	Adam & The Ants	NULL	NULL	bdxm5
51	Adamski	NULL	NULL	w6p28
52	Add N To (X)	NULL	NULL	9x3nv
53	Adventures In Stereo	NULL	NULL	dpmq4
54	Aereogramme	NULL	NULL	6325c
55	Aerial M	NULL	NULL	xmn8r
56	Afghan Whigs	NULL	NULL	p2qvh
57	Again Again	NULL	NULL	3n54z
58	Agathocles	NULL	NULL	mq8cg
59	Age Of Chance	NULL	NULL	25vrj
60	Agony Column	NULL	NULL	n84hf
61	Aina	NULL	NULL	qvczb
62	Aislers Set	NULL	NULL	54rgw
63	Alan Hull	NULL	NULL	8chj9
64	Albion Country Band	NULL	NULL	vrzfd
65	Alec Empire	NULL	NULL	4hgb6
66	Alfie	NULL	NULL	czjwx
67	Alien Sex Fiend	NULL	NULL	rgf9p
68	Allez Allez	NULL	NULL	hjbd3
69	Alliance	NULL	NULL	zfw6m
70	Allman Brothers Band	NULL	NULL	gwdpn
71	Altered Images	NULL	NULL	j963q
72	Altern 8	NULL	NULL	fdxm5
73	Alternative TV	NULL	NULL	b6p28
74	Althea & Donna	NULL	NULL	wx3nv
75	AM60	NULL	NULL	9pmq4
76	American TV Cops	NULL	NULL	d325c
77	Amon Duul II	NULL	NULL	6mn8r
78	Amsterdam	NULL	NULL	x2qvh
79	Anaal Nathrakh	NULL	NULL	pn54z
80	Anaconda	NULL	NULL	3q8cg
81	And Also The Trees	NULL	NULL	m5vrj
82	Andrew And The Droogies	NULL	NULL	284hf
83	Andrew Caine	NULL	NULL	nvczb
84	Andy Fairweather-Low	NULL	NULL	q4rgw
85	Andy Fraser Band	NULL	NULL	5chj9
86	Andy Mackay	NULL	NULL	8rzfd
87	Angelic Upstarts	NULL	NULL	vhgb6
88	Angelica	NULL	NULL	4zjwx
89	Angels 1 - 5	NULL	NULL	cgf9p
90	Anhrefn	NULL	NULL	rjbd3
91	Animal Magic	NULL	NULL	hfw6m
92	Ann Peebles	NULL	NULL	zb9x2
93	Another Pretty Face	NULL	NULL	g963q
94	Ant From Hefner	NULL	NULL	jdxm5
95	AntiHero	NULL	NULL	f6p28
96	Anti-Pasti	NULL	NULL	bx3nv
97	Any Trouble	NULL	NULL	wpmq4
98	APB	NULL	NULL	9325c
99	Aphex Twin	NULL	NULL	dmn8r
100	Aphrodisiacs	NULL	NULL	62qvh
101	Apollinaires	NULL	NULL	xn54z
102	Apparat	NULL	NULL	pq8cg
103	Appendix Out	NULL	NULL	35vrj
104	Appliance	NULL	NULL	m84hf
105	Arab Strap	NULL	NULL	2vczb
106	Archers Of Loaf	NULL	NULL	n4rgw
107	Architecture In Helsinki	NULL	NULL	qchj9
108	Arcwelder	NULL	NULL	5rzfd
109	Argent	NULL	NULL	8hgb6
110	Armistice	NULL	NULL	vzjwx
111	Arson Garden	NULL	NULL	4gf9p
112	Art Brut	NULL	NULL	cjbd3
113	Artery	NULL	NULL	rfw6m
114	Arthur 'Big Boy' Crudup	NULL	NULL	hb9x2
115	Arthur Brown's Kingdom Come	NULL	NULL	zwdpn
116	As Above So Below	NULL	NULL	gdxm5
117	Asa-Chang & Junray	NULL	NULL	j6p28
118	Ascii Disko	NULL	NULL	fx3nv
119	Ash	NULL	NULL	bpmq4
120	Aspects	NULL	NULL	w325c
121	Assembly	NULL	NULL	9mn8r
122	Associates	NULL	NULL	d2qvh
123	Astrid	NULL	NULL	6n54z
124	Astronaut	NULL	NULL	xq8cg
125	Aswad	NULL	NULL	p5vrj
126	Atari Teenage Riot	NULL	NULL	384hf
127	Athletico Spizz 80	NULL	NULL	mvczb
128	Atomic Rooster	NULL	NULL	24rgw
129	Attic	NULL	NULL	nchj9
130	Attila The Stockbroker	NULL	NULL	qrzfd
131	Attwenger	NULL	NULL	5hgb6
132	Au Pairs	NULL	NULL	8zjwx
133	Autechre	NULL	NULL	vgf9p
134	Auteurs	NULL	NULL	4jbd3
135	Autopop	NULL	NULL	cfw6m
136	Autumn 1904	NULL	NULL	rb9x2
137	Avrocar	NULL	NULL	hwdpn
138	Aztec Camera	NULL	NULL	z963q
139	Babes In Toyland	NULL	NULL	g6p28
140	Baby Bird	NULL	NULL	jx3nv
141	Back Door	NULL	NULL	fpmq4
142	Backwater	NULL	NULL	b325c
143	Bad Dress Sense	NULL	NULL	wmn8r
144	Bad Religion	NULL	NULL	92qvh
145	Badgewearer	NULL	NULL	dn54z
146	Badly Drawn Boy	NULL	NULL	6q8cg
147	Bailterspace	NULL	NULL	x5vrj
148	Ballboy	NULL	NULL	p84hf
149	Bamboo Zoo	NULL	NULL	3vczb
150	Banco De Gaia	NULL	NULL	m4rgw
151	Band Of Susans	NULL	NULL	2chj9
152	Bandoggs	NULL	NULL	nrzfd
153	Bandulu	NULL	NULL	qhgb6
