artist_id	year	chart_position	track_title	folder	isrc	file	id	url_key
4	2000	4	Mistakes & Regrets	2000	GB-CEL-00-00211		1	4qw6m
5	1985	49	Like One Thousand Violins	1985	noisrc		2	c59x2
7	1985	69	Just As The Tide Was A-Flowing	1985	noisrc	10000Maniacs-MyMotherTheWar.aiff	3	r8dpn
7	1983	26	My Mother The War	1983	US-EE1-01-80635	10000Maniacs–CantIgnoreTheTrain.aiff	4	hv63q
7	1985	59	Can't Ignore The Train	1985	noisrc	10000Maniacs–JustAsTheTideWasAFlowing.aiff	5	z4xm5
25	1998	40	Alison's Room	1998	GB-ARL-98-00008	60ftdolls_AlisonsRoom.aiff	6	gr3nv
26	2004	25	Retreat! Retreat!	2004	noisrc	65daysofstatic_RetreatRetreat.aiff	7	jhmq4
28	1991	28	Auto Killer UK	1991	noisrc		8	fz25c
29	1989	22	Pacific State	1989	Y7-930-00-055	808state_Pacific (808_98 Edit).aiff	9	bgn8r
43	1996	26	Stunt Girl	1996	noisrc	ac_acoustics_StuntGirl.aiff	10	wjqvh
43	1997	19	I Messiah Am Jailer	1997	noisrc		11	9f54z
48	1982	48	Suicide Bag	1982	noisrc	Action Pact - Suicide Bag.aiff	12	db8cg
50	1980	53	Dog Eat Dog	1980	GB-BBN-80-02072	Adam & The Ants - Dog Eat Dog.aiff	13	6wvrj
50	1980	30	Kings Of The Wild Frontier	1980	GB-BBN-80-02073	Adam & The Ants - Kings Of The Wild Frontier.aiff	14	x94hf
52	1999	37	Metal Fingers In My Body	1999	GB-AJH-98-00354	AdNtoX_MetalFingers.aiff	15	pdczb
54	2004	4	Dreams and Bridges	2004	noisrc	aereogramme_DreamsandBridges.aiff	16	36rgw
54	2004	15	The Unravelling	2004	noisrc	aereogramme_TheUnravelling.aiff	17	mxhj9
59	1986	27	Bible Of The Beats	1986	noisrc		18	2pzfd
59	1986	2	Kiss	1986	noisrc	ageofchance_kiss.aiff	19	n3gb6
59	1985	30	Motor City	1985	noisrc		20	qmjwx
70	1976	38	Jessica	1976	US-A02-76-25120	The Allman Brothers - Jessica (Theme From Top Gear	21	52f9p
71	1981	15	Dead Pop Stars	1981	GB-BBM-81-02004	alteredimages_deadpopstars.aiff	22	8nbd3
71	1981	50	Happy Birthday	1981	noisrc	Altered Images - Happy Birthday.aiff	23	vqw6m
71	1982	21	Dead Pop Stars	1981	GB-BBM-81-02004	alteredimages_deadpopstars.aiff	24	459x2
74	1977	2	Uptown Top Ranking	1977	GB-AAA-01-00135	Althea & Donna - Uptown Top Ranking.aiff	25	c8dpn
78	2003	31	Does This Train Stop On Merseyside?	2003	noisrc		26	rv63q
88	1997	31	Teenage Girl Crush	1997	noisrc		27	h4xm5
95	2002	5	Rolling Stones T-Shirt	2002	noisrc		28	zcp28
95	2001	38	Who's Looking Out For Number One	2001	noisrc		29	ghmq4
95	2002	37	You Got Nothing (Session)	2002	noisrc		30	jz25c
