artist_id	id	tx_date	record_date	producer	engineer1	engineer2	studio	url_key
2	1	1978-11-01	1978-10-25	Mike Robinson	Nick Gomm		Maida Vale 4	h9mq4
3	2	1982-05-12	1982-05-08	Dale Griffin	Mike Robinson		Maida Vale 4	zd25c
3	3	1983-05-11	1983-05-04	Roger Pusey	Nick Gomm		Maida Vale 4	gxqvh
4	4	NULL	2000-04-08	Andy Rogers			Camber Sands	jp54z
4	5	NULL	2000-08-16	Andrew Rogers	Miti Adhikari		Maida Vale	f38cg
4	6	2001-09-04	2001-08-25	Andy Rogers	Simon Askew		Reading Festival	bmvrj
4	7	2002-04-30	2002-02-05	Mike Walter	George Thomas		Maida Vale 4	w24hf
5	8	1985-09-25	1985-09-15	Dale Griffin	Mike Engles		Maida Vale 5	9nczb
5	9	1986-12-02	1986-11-04	Dale Griffin	Mike Engles		Unknown	dqrgw
6	10	NULL	1999-03-09	Mike Robinson	George Thomas		Maida Vale 4	65hj9
7	11	1985-07-01	1985-06-23	Dale Griffin	Simon Clifford		Maida Vale 5	x8zfd
8	12	1994-03-04	1994-01-25	Mike Robinson	Paul Allen		Maida Vale 4	pvgb6
9	13	1986-11-26	1986-10-28	Dale Griffin	Ted De Bono	Tim Durham	Unknown	34jwx
9	14	1987-07-27	1987-07-21	Dale Griffin	Mike Robinson	James Birtwistle	Maida Vale 4	mcf9p
10	15	1994-09-16	1994-07-24	Mike Robinson	Julian Markham		Maida Vale 3	2rbd3
10	16	1995-04-28	1995-03-26	Mike Engles	Julian Markham		Maida Vale 3	nhw6m
10	17	NULL	1999-02-28	Mike Engles	George Thomas		Maida Vale 3	qz9x2
11	18	1975-12-19	1975-11-11	Tony Wilson	Unknown		Maida Vale 4	5gdpn
12	19	1981-02-02	NULL	Neville Staples	Unknown		Private tape - Studio unknown	8j63q
13	20	NULL	2004-04-21	Miti Adhikari	George Thomas		Maida Vale 4	vfxm5
13	21	NULL	2004-06-26	Sam / Andy	Nick Fountain		Glastonbury Festival, Other Stage	4bp28
14	22	1981-09-23	1981-09-16	Chris Lycett	Nick Gomm		Maida Vale 4	cw3nv
15	23	2003-05-06	2003-01-01	Louise Kattenhorn			Artist's own studio	r9mq4
16	24	1991-08-10	1991-06-02	Dale Griffin	Andy Meeson	Mike Engles	Unknown	hd25c
17	25	1979-09-05	1979-08-22	Trevor Dann	Nick Gomm		Maida Vale 4	z6n8r
18	26	2003-10-22	2003-10-01				Maida Vale 4	gp54z
19	27	1983-01-20	1983-01-12	Roger Pusey	Nick Gomm		Unknown	j38cg
19	28	1983-07-06	1983-07-02	Dale Griffin	Mike Robinson		Maida Vale 4	fmvrj
19	29	1984-01-30	1984-01-21	Dale Griffin	Martin Colley		Maida Vale 4	b24hf
19	30	1985-04-24	1985-04-07	Dale Griffin	Mike Engles		Maida Vale 5	wnczb
19	31	1985-12-02	1985-11-19	Mike Robinson			Maida Vale 5	9qrgw
19	32	1987-09-21	1987-09-08	Dale Griffin	Mike Engles	Martyn Parker	Unknown	d5hj9
19	33	1990-08-28	1990-07-10	Mike Robinson	Mike Robinson		Maida Vale 5	68zfd
20	34	1991-01-19	1990-12-20	Dale Griffin	Mike Walter	Rupert Flindt	Maida Vale 5	xvgb6
20	35	1991-10-20	1991-08-22	Dale Griffin	Nick Gomm	Paul Allen	Maida Vale 5	p4jwx
21	36	1982-04-05	1982-03-27	Dale Griffin	Mike Robinson		Maida Vale 4	3cf9p
21	37	1982-11-09	1982-10-23	Dale Griffin	Mike Robinson		Maida Vale 4	mrbd3
21	38	1983-09-13	1983-07-30	Dale Griffin	Mike Robinson		Maida Vale 4	2hw6m
22	39	1994-05-28	1994-04-24	James Birtwistle	K R		Maida Vale 4	nz9x2
23	40	1984-02-16	1984-02-08	Dale Griffin	Nick Gomm		Maida Vale 5	qgdpn
24	41	NULL	NULL					5j63q
25	42	1996-02-17	1996-02-11	James Birtwistle			Maida Vale 3	8fxm5
25	43	1998-04-21	1998-04-21	Paul Long	Nick Fountain		Maida Vale 4	vbp28
27	44	1993-04-03	1993-03-09	Mike Robinson	M Rob/Paul Allen		Maida Vale 4	4w3nv
28	45	1991-05-26	1991-04-30	Mike Robinson	Mike Robinson		Maida Vale 5	c9mq4
28	46	1992-06-20	1992-05-26	Mike Robinson	Mike Robinson		Maida Vale 4	rd25c
28	47	1993-06-04	1993-05-04	Mike Robinson	Mike/Paul Allen		Maida Vale 4	h6n8r
28	48	1994-07-22	1994-05-31	Mike Engles	Simon Askew		Maida Vale 4	zxqvh
30	49	NULL	2001-02-14	Simon Askew	George Thomas		Maida Vale 4	g38cg
31	50	1974-10-03	1974-09-24	Tony Wilson	Bob Conduct		Maida Vale 4	jmvrj
31	51	1975-03-24	1975-03-18	Unknown	Bob Conduct?		Maida Vale 4	f24hf
31	52	1976-05-06	1976-03-23	Tony Wilson	Mike Robinson		Maida Vale 4	bnczb
31	53	1977-03-18	1977-02-22	Unknown	Mike Robinson		Maida Vale 4	wqrgw
32	54	1994-01-07	1993-11-18	Chris Mclean	Nick Fountain		Maida Vale 4	95hj9
32	55	1995-01-27	1994-12-11	Mike Engles	John Hemmingway		Maida Vale 3	d8zfd
32	56	1995-09-01	1995-08-26				Reading Festival '95	6vgb6
32	57	1997-03-13	1997-01-24	Tony Worthington			Man 3	x4jwx
32	58	NULL	1999-01-03	Mike Engles	Colin Marshall		Maida Vale 3	pcf9p
32	59	NULL	2002-03-03	Mike Engles	George Thomas		Maida Vale 4	3rbd3
33	60	1979-10-17	1979-10-01	Tony Wilson	Bill Aitken		Maida Vale 4	mhw6m
33	61	1981-07-02	1981-06-29	Tony Wilson	Dave Dade		Langham 1	2z9x2
33	62	1982-12-01	1982-11-20	Dale Griffin	Martyn Parker		Maida Vale 4	ngdpn
34	63	1981-05-12	1981-05-06	Chris Lycett	Nick Gomm		Langham 1	qj63q
35	64	1981-09-10	1981-09-05	Dale Griffin	Mike Robinson		Maida Vale 4	5fxm5
36	65	1988-11-07	1988-10-30	Dale Griffin	Mike Engles		The Hippodrome, Golders Green, London	8bp28
36	66	1989-09-06	1989-08-06	Dale Griffin	Paul Allen		Maida Vale 5	vw3nv
36	67	1995-07-08	NULL	Unknown	Unknown		Unknown	49mq4
37	68	1991-02-03	1991-01-13	Dale Griffin	Miti Adhikari		Maida Vale 3	cd25c
38	69	1987-02-09	1987-01-25	Dale Griffin	Mike Engles	Fred Kay	Unknown	r6n8r
38	70	1992-03-13	1992-02-02	Dale Griffin	Mike Engles	Rachel Fisher	Maida Vale 3	hxqvh
39	71	1983-10-18	1983-10-12	Roger Pusey	Nick Gomm		Maida Vale 4	zp54z
40	72	2001-10-18	NULL	Unknown	Unknown		Maida Vale 4	gmvrj
41	73	1986-01-06	1985-12-15	Dale Griffin	Mike Engles		Maida Vale 5	j24hf
41	74	1986-12-09	1986-11-16	Dale Griffin	Nick Gomm	Fred Kay	Unknown	fnczb
41	75	1988-01-19	1988-01-10	Dale Griffin	Mike Engles	Fred Kay	Unknown	bqrgw
41	76	1988-11-30	1988-11-20	Dale Griffin	Mike Engles		The Hippodrome, Golders Green, London	w5hj9
42	77	2001-10-16	2001-09-10	Unknown	Unknown		Unknown	98zfd
