2,"999","999.jpg",""
3,"1919","",""
4,"...And You Will Know Us By The Trail Of Dead","andyoullknowusby.jpg","This US four piece are best known for their chaotic yet melodic music and anarchic stage shows, which frequently end with the band trashing their equipment. Their rather macabre name is taken from a Mayan ritual chant, rather than a penchant for serial killing, which must be a relief to their record company.<BR/>Founder members Jason Reece and Conrad Keely, who between them sing and play drums and guitar, first met in Hawaii. They moved to the college town of Olympia, Washington in 1993, to take advantage of the town's thriving music scene. Both joined various bands, but tired of the north west and moved to Austin, Texas, home of the South by South West festival, and started playing as a duo under the name You Will Know Us By The Trail of Dead. Bass player Neil Busch and guitarist Kevin Allen joined soon after and the band name expanded to include ... And. In 1998 they put out a cassette of a live show on local indie Golden Hour Records, which was followed by a self-titled album on Trance Syndicate. ... Trail of Dead moved to Merge records to release 2001's 'Madonna'. They were picked up by Interscope and put out the albums 'Source Tags and Codes' (2002) and 'World's Apart' (2005) to much critical acclaim.<BR/>Despite their major label funding the band remain true to their roots and are happy for fans to tape their shows as long as they receive a copy of the recording.<BR/><blockquote>\"...Trail of Dead was great because they were thrilled to be there and so impressed at everything we said - 'Wow, you worked with that guy?' or 'I didn't know so-and-so had played here!'.<BR/>They kept the excitement up during the gig by playing pre-recorded fillers in-between songs, and the audience loved it.\"</blockquote>"
5,"1,000 Violins","",""
6,"10 5 Neuton","",""
7,"10,000 Maniacs","1000_maniacs.jpg",""
8,"13th Hole","13th_hole.jpg",""
9,"14 Iced Bears","14-iced-bears.jpg",""
10,"18th Dye","18th_dye.jpg",""
11,"20th Century Steel Band","20th_century_steelband.jpg",""
12,"21 Guns","21_guns.jpg",""
13,"22-20s","22-20sphotojamiebeeden2004.jpg",""
14,"23 Skidoo","23-Skidoophotoeddiemonsoon.jpg",""
15,"25BZ","2_5_bz.jpg",""
16,"25th of May","25th_may.jpg",""
17,"2TV","",""
18,"3 Inches of Blood","3NCHESOFBLOOD.jpg",""
19,"3 Mustaphas 3","3_mustaphas_3.jpg",""
20,"35 Summers","",""
21,"3D","",""
22,"3Ds","3_ds.jpg",""
23,"400 Blows","400_blows_by_toni_wells.jpg",""
24,"5TA","",""
25,"60ft Dolls","60ft_dolls.jpg","In the mid-90's every town had a single teenager who only ever wore a 60ft. Dolls T-shirt. They were one of several Welsh bands who, following the success of Manic Street Preachers, began to clamour for their own space in the music press and record shops of Britain. Whilst never as popular as their contemporaries such as Stereophonics and The Super Furry Animals, the Dolls had a devoted, and T-shirted, fanbase.The band formed in the mostly working class city of Newport in Wales. Richard Parfitt (vocals/ guitar) and Mike Cole (bass) met whilst signing on and discovered a shared interest in Motown and classic British rock bands such as The Jam, The Clash and The Who. Six months later, in 1993, they were joined by drummer Carl Bevan.<BR/>Having built up a reputation for rowdy and energetic performances around Wales, they were signed to Indolent Records and released their first single 'Happy Shopper' in 1994. Singles 'Pig Valentine' and Stay' followed and in 1995 they joined the NME Brat Bus tour alongside Veruca Salt and Marion. Album 'The Big Three' was released in 1996 and its follow-up 'Joya Magica' appeared in 1998. The band split in 1999 after being dropped by Indolent."
26,"65 Days Of Static","65-days-of-static.jpg",""
27,"7 Year Bitch","7_year_bitch.jpg",""
28,"70 Gwen Party","",""
29,"808 State","808state.jpg",""
30,"90 Day Men","90dayMan.jpg",""
31,"A Band Called O","aband_called_o.jpg",""
32,"A C Acoustics","acacoustic.jpg",""
33,"A Certain Ratio","a_certain_ratio.jpg",""
34,"A Flock Of Seagulls","",""
35,"A Formal Sigh","",""
36,"A Guy Called Gerald","A-Guy-called-Gerald.jpg",""
37,"A Homeboy A Hippie & A Funky Dread","a-homeboy-a-hippy.jpg",""
38,"A House","a-house.jpg",""
39,"A Popular History Of Signs","",""
40,"A R E Weapons","are_weapons.jpg",""
41,"A Witness","a_witness.jpg",""
42,"Aaviko","aavikko.jpg",""
43,"AC Acoustics","",""
44,"AC Temple","",""
45,"AC/DC","ACDC.jpg",""
46,"Ace","Ace.jpg",""
47,"Acqua Vista","aqua_vista.jpg",""
48,"Action Pact","",""
49,"Action Swingers","action_swingers.jpg",""
50,"Adam & The Ants","adam_and_the_ants.jpg",""
51,"Adamski","Adamski.jpg",""
52,"Add N To (X)","Add-N-To-X.jpg",""
53,"Adventures In Stereo","adventures_in_stereo.jpg",""
54,"Aereogramme","aerogramme.jpg",""
55,"Aerial M","aerial-m.jpg",""
56,"Afghan Whigs","Afghan-Whigs.jpg",""
57,"Again Again","",""
58,"Agathocles","agathocles.jpg",""
59,"Age Of Chance","age_of_chance.jpg",""
60,"Agony Column","",""
61,"Aina","aina.jpg",""
62,"Aislers Set","aisler_set.jpg",""
63,"Alan Hull","allan_hull.jpg",""
64,"Albion Country Band","albion-country-band.jpg",""
65,"Alec Empire","Alec-empire.jpg",""
66,"Alfie","Alfie.jpg",""
67,"Alien Sex Fiend","",""
68,"Allez Allez","allezallez.jpg",""
69,"Alliance","",""
70,"Allman Brothers Band","allman_brothers_band.jpg",""
71,"Altered Images","altered_images.jpg",""
72,"Altern 8","altern_8.jpg",""
73,"Alternative TV","alternative_TV.jpg",""
74,"Althea & Donna","althea_and_donna.jpg",""
75,"AM60","AM60.jpg",""
76,"American TV Cops","",""
77,"Amon Duul II","amon_duul_II.jpg",""
78,"Amsterdam","",""
79,"Anaal Nathrakh","Anaal-Nathrakh.jpg",""
80,"Anaconda","",""
81,"And Also The Trees","and_also_the_trees.jpg",""
82,"Andrew And The Droogies","",""
83,"Andrew Caine","",""
84,"Andy Fairweather-Low","andy_fairweather_low.jpg",""
85,"Andy Fraser Band","andy_frazer.jpg",""
86,"Andy Mackay","andy_mackay.jpg",""
87,"Angelic Upstarts","angelic_upstarts.jpg",""
88,"Angelica","angelica.jpg",""
89,"Angels 1 - 5","",""
90,"Anhrefn","",""
91,"Animal Magic","",""
92,"Ann Peebles","ann_peebles.jpg",""
93,"Another Pretty Face","",""
94,"Ant From Hefner","",""
95,"AntiHero","antihero.jpg",""
96,"Anti-Pasti","anti_pasti.jpg",""
97,"Any Trouble","anytrouble.jpg",""
98,"APB","",""
99,"Aphex Twin","Aphex_Twin.jpg",""
100,"Aphrodisiacs","APHRODISIACS.jpg",""
101,"Apollinaires","",""
102,"Apparat","apparat.jpg",""
103,"Appendix Out","appendixout.jpg",""
104,"Appliance","appliance.jpg",""
105,"Arab Strap","","Named after a sex aid, it's no surprise Arab Strap's lyrics focus on the grubbier side of life, sometimes forming a surprising contrast to their brooding indie, post-folk sound.<BR/>Scots Aidan Moffat (vocals) and Malcolm Middleton (multiple instruments) met in Falkirk and started working together in 1995, after years of exchanging cassette tapes. They signed to Glasgow indie Chemikal Underground and bought in string players Jenny Reeve (violin) and Stacey Sievewright (cello).<BR/>Arab Strap's first album 'The Week Never Starts Round Here' was released in 1996 and followed by 'Philophobia' in 1998 and 'Elephant Shoe' (2000), The Red Thread (2001) and Monday at the Hug and Pint (2003). Fellow Scottish band Belle and Sebastian paid tribute to Arab Strap, naming their 1998 album The Boy With The Arab Strap. (If you're wondering, an Arab Strap is made of leather, with a metal ring and is often used to help maintain an erection. You can learn all sorts here.)"
106,"Archers Of Loaf","",""
107,"Architecture In Helsinki","",""
108,"Arcwelder","",""
109,"Argent","",""
110,"Armistice","",""
111,"Arson Garden","arson_garden.jpg",""
112,"Art Brut","",""
113,"Artery","",""
114,"Arthur 'Big Boy' Crudup","",""
115,"Arthur Brown's Kingdom Come","",""
116,"As Above So Below","",""
117,"Asa-Chang & Junray","asa-chang_junray.jpg",""
118,"Ascii Disko","ascII_disko.jpg",""
119,"Ash","ash.jpg","Ash began their musical life as three teenage boys in Downpatrick, Northern Ireland. Their early music was packed with adolescent fizz and yearning for unattainable girls. Childhood friends Tim Wheeler (vocals/ guitar) and Mark Hamilton (bass) formed Vietnam in 1989 when they were just 11. They changed their name to Ash in 1992 when they joined up with Rick McMurray (drums), who was in the school year ahead of them. <BR/>By 1994 they had signed to Infectious in the UK and Reprise in the US and released their debut mini-album 'Trailer' to critical praise.The following year, with Britpop at its height, Ash scored a Top 20 hit with 'Girl From Mars'. Their album '1977' (named for the year Tim and Mark were born) topped the UK charts in 1996.<BR/>Guitarist Charlotte Hatherley joined in 1997, but despite her status as an indie pin-up and production from Garbage's Butch Vig, album 'Nu-clear Sounds' didn't fare well. Undaunted Ash returned two years later with 'Free All Angels', which went to number one, with single 'This Shining Light' gaining a nomination at the Ivor Novello Awards.'Clones' taken from 2004's 'Meltdown' was used in the Star Wars computer game 'Republic Commando', the first piece of music to be used in the Star Wars series which had not been written by composer John Williams."
120,"Aspects","aspects.jpg",""
121,"Assembly","",""
122,"Associates","",""
123,"Astrid","",""
124,"Astronaut","",""
125,"Aswad","aswad.jpg",""
126,"Atari Teenage Riot","ATARI-TEENAGE-RIOT.jpg",""
127,"Athletico Spizz 80","",""
128,"Atomic Rooster","atomicroostersessonscover.jpg",""
129,"Attic","",""
130,"Attila The Stockbroker","atilla_stokebroker.jpg",""
131,"Attwenger","",""
132,"Au Pairs","",""
133,"Autechre","autechre.jpg","Hailing from Rochdale, Rob Brown and Sean Booth met in 1987. They spent a good deal of time trading pause-button mixtapes, but graduated to making their own music. <BR/>Signed to pioneering electronica label Warp, Autechre reveled in creating intricate, glitched-out sounds, that led to them, along with contemporaries such as label-mate Aphex Twin, being slotted into a genre known as IDM, or Intelligent Dance Music. <BR/>Their debut album 'Incunabula' was released in 1993. Since then the duo have released several albums, the most recent being 2005's 'Untitled', and several remixes for artists including Skinny Puppy, DJ Food and Tortoise. <BR/>Brown and Booth are extremely reclusive, although they have an extremely devoted fanbase. They state that the name Autechre can be pronounced in any fashion and have also recorded under the names Lego Feet and Velocity Kendall. <BR/>Aphex Twin once claimed to be the brains behind Autechre, but, as he also claimed to be behind Plone and Boards of Canada at the same time, you can take that with a pinch of salt."
134,"Auteurs","",""
135,"Autopop","",""
136,"Autumn 1904","",""
137,"Avrocar","",""
138,"Aztec Camera","aztec-camera.jpg",""
139,"Babes In Toyland","",""
140,"Baby Bird","baby_bird.jpg",""
141,"Back Door","backdoorrecord.jpg",""
142,"Backwater","",""
143,"Bad Dress Sense","",""
144,"Bad Religion","",""
145,"Badgewearer","",""
146,"Badly Drawn Boy","badly-drawn-boy.jpg",""
147,"Bailterspace","",""
148,"Ballboy","ballboy.jpg","'Olympic Cyclist', a single from this Scottish group, was one of John's favourites of 2000. The Edinburgh foursome consist of Gordon McIntyre (vocals, guitar), Nick Reynolds (bass), Katie Griffiths (keyboards) and Gary Morgan (drums). Signed to SL Records, Ballboy put out their debut album 'Club Anthems' in 2001 and have produced an album every year since, most recently 'The Royal Theatre' (2004). Despite being prolific producers of indie-pop, none of the band are full-time musicians. Gordon and Katie are both teachers, Nick is a nurse and Gary a sound technician. Keeping it real."
149,"Bamboo Zoo","",""
150,"Banco De Gaia","banco_de_gaia.jpg",""
151,"Band Of Susans","band_of_susands.jpg",""
152,"Bandoggs","bandoggs.jpg",""
153,"Bandulu","bandulu.jpg",""
154,"Bang Bang Machine","",""
155,"Bangtwister","",""
156,"Baptist Generals","Baptist-Generals.jpg",""
157,"Barbel","",""
158,"Barcelona Pavilion","barcelona-pavillion.jpg",""
159,"Barclay James Harvest","barclay_james_harvest.jpg",""
160,"Bardo Pond","bardopond.jpg",""
161,"Bardots","",""
162,"Bark Market","barkmarket_by_def_american.jpg",""
163,"Barmy Army","",""
164,"Barry Adamson","barry_adamson.jpg",""
165,"Basement Five","",""
166,"Basking Sharks","",""
167,"Bastard Kestrel","",""
168,"Bastro","bastro.jpg",""
169,"Batti Mamzelle","batti_mamzelle.jpg",""
170,"Bauhaus","bauhaus.jpg",""
171,"Bays","Bays_credit_Tom_Oldham.jpg",""
172,"Be Bop Deluxe","bebopdeluxalbum.jpg",""
173,"Beach Boys","beach-boys.jpg",""
174,"Bear Quartet","",""
175,"Bearsuit","bearsuit.jpg",""
176,"Beatmasters","",""
177,"Beatnigs","",""
178,"Beatnik Filmstars","beatnik_filmstars.jpg",""
179,"Beck","",""
180,"Bee Vamp","",""
181,"Bees","beesbytomcraig.jpg",""
182,"Belle & Sebastian","BelleSebastian2002.jpg",""
183,"Bellrays","bell_rays.jpg",""
184,"Benjamin Zepheniah","benjamin_zepheniah.jpg",""
185,"Bennet","bennet.jpg",""
186,"Benny Profane","",""
187,"Berntholer","berntholer.jpg",""
188,"Bette Davis","bette_davis_and_the_balcone.jpg",""
189,"Beulah","",""
190,"Bhundu Boys","bhunduboys.jpg",""
191,"Biffy Clyro","biffy_clyro.jpg",""
192,"Big Black","BigBlack.jpg",""
193,"Big Chief","",""
194,"Big Country","bigcountry1983.jpg",""
195,"Big Fayia","",""
196,"Big Flame","",""
197,"Big Grunt","",""
198,"Big In Japan","big-in-japan.jpg",""
199,"Big Self","",""
200,"Bikini Kill","",""
201,"Bilge Pump","bilgepump.jpg",""
202,"Bill Nelson","",""
203,"Billy Boy Arnold","",""
