2,1,"1978-11-01","1978-10-25","Mike Robinson","Nick Gomm","","Maida Vale 4"
3,2,"1982-05-12","1982-05-08","Dale Griffin","Mike Robinson","","Maida Vale 4"
3,3,"1983-05-11","1983-05-04","Roger Pusey","Nick Gomm","","Maida Vale 4"
4,4,"0000-00-00","2000-04-08","Andy Rogers","","","Camber Sands"
4,5,"0000-00-00","2000-08-16","Andrew Rogers","Miti Adhikari","","Maida Vale"
4,6,"2001-09-04","2001-08-25","Andy Rogers","Simon Askew","","Reading Festival"
4,7,"2002-04-30","2002-02-05","Mike Walter","George Thomas","","Maida Vale 4"
5,8,"1985-09-25","1985-09-15","Dale Griffin","Mike Engles","","Maida Vale 5"
5,9,"1986-12-02","1986-11-04","Dale Griffin","Mike Engles","","Unknown"
6,10,"0000-00-00","1999-03-09","Mike Robinson","George Thomas","","Maida Vale 4"
7,11,"1985-07-01","1985-06-23","Dale Griffin","Simon Clifford","","Maida Vale 5"
8,12,"1994-03-04","1994-01-25","Mike Robinson","Paul Allen","","Maida Vale 4"
9,13,"1986-11-26","1986-10-28","Dale Griffin","Ted De Bono","Tim Durham","Unknown"
9,14,"1987-07-27","1987-07-21","Dale Griffin","Mike Robinson","James Birtwistle","Maida Vale 4"
10,15,"1994-09-16","1994-07-24","Mike Robinson","Julian Markham","","Maida Vale 3"
10,16,"1995-04-28","1995-03-26","Mike Engles","Julian Markham","","Maida Vale 3"
10,17,"0000-00-00","1999-02-28","Mike Engles","George Thomas","","Maida Vale 3"
11,18,"1975-12-19","1975-11-11","Tony Wilson","Unknown","","Maida Vale 4"
12,19,"1981-02-02","0000-00-00","Neville Staples","Unknown","","Private tape - Studio unknown"
13,20,"0000-00-00","2004-04-21","Miti Adhikari","George Thomas","","Maida Vale 4"
13,21,"0000-00-00","2004-06-26","Sam / Andy","Nick Fountain","","Glastonbury Festival, Other Stage"
14,22,"1981-09-23","1981-09-16","Chris Lycett","Nick Gomm","","Maida Vale 4"
15,23,"2003-05-06","2003-01-01","Louise Kattenhorn","","","Artist's own studio"
16,24,"1991-08-10","1991-06-02","Dale Griffin","Andy Meeson","Mike Engles","Unknown"
17,25,"1979-09-05","1979-08-22","Trevor Dann","Nick Gomm","","Maida Vale 4"
18,26,"2003-10-22","2003-10-01","","","","Maida Vale 4"
19,27,"1983-01-20","1983-01-12","Roger Pusey","Nick Gomm","","Unknown"
19,28,"1983-07-06","1983-07-02","Dale Griffin","Mike Robinson","","Maida Vale 4"
19,29,"1984-01-30","1984-01-21","Dale Griffin","Martin Colley","","Maida Vale 4"
19,30,"1985-04-24","1985-04-07","Dale Griffin","Mike Engles","","Maida Vale 5"
19,31,"1985-12-02","1985-11-19","Mike Robinson","","","Maida Vale 5"
19,32,"1987-09-21","1987-09-08","Dale Griffin","Mike Engles","Martyn Parker","Unknown"
19,33,"1990-08-28","1990-07-10","Mike Robinson","Mike Robinson","","Maida Vale 5"
20,34,"1991-01-19","1990-12-20","Dale Griffin","Mike Walter","Rupert Flindt","Maida Vale 5"
20,35,"1991-10-20","1991-08-22","Dale Griffin","Nick Gomm","Paul Allen","Maida Vale 5"
21,36,"1982-04-05","1982-03-27","Dale Griffin","Mike Robinson","","Maida Vale 4"
21,37,"1982-11-09","1982-10-23","Dale Griffin","Mike Robinson","","Maida Vale 4"
21,38,"1983-09-13","1983-07-30","Dale Griffin","Mike Robinson","","Maida Vale 4"
22,39,"1994-05-28","1994-04-24","James Birtwistle","K R","","Maida Vale 4"
23,40,"1984-02-16","1984-02-08","Dale Griffin","Nick Gomm","","Maida Vale 5"
24,41,"0000-00-00","0000-00-00","","","",""
25,42,"1996-02-17","1996-02-11","James Birtwistle","","","Maida Vale 3"
25,43,"1998-04-21","1998-04-21","Paul Long","Nick Fountain","","Maida Vale 4"
27,44,"1993-04-03","1993-03-09","Mike Robinson","M Rob/Paul Allen","","Maida Vale 4"
28,45,"1991-05-26","1991-04-30","Mike Robinson","Mike Robinson","","Maida Vale 5"
28,46,"1992-06-20","1992-05-26","Mike Robinson","Mike Robinson","","Maida Vale 4"
28,47,"1993-06-04","1993-05-04","Mike Robinson","Mike/Paul Allen","","Maida Vale 4"
28,48,"1994-07-22","1994-05-31","Mike Engles","Simon Askew","","Maida Vale 4"
30,49,"0000-00-00","2001-02-14","Simon Askew","George Thomas","","Maida Vale 4"
31,50,"1974-10-03","1974-09-24","Tony Wilson","Bob Conduct","","Maida Vale 4"
31,51,"1975-03-24","1975-03-18","Unknown","Bob Conduct?","","Maida Vale 4"
31,52,"1976-05-06","1976-03-23","Tony Wilson","Mike Robinson","","Maida Vale 4"
31,53,"1977-03-18","1977-02-22","Unknown","Mike Robinson","","Maida Vale 4"
32,54,"1994-01-07","1993-11-18","Chris Mclean","Nick Fountain","","Maida Vale 4"
32,55,"1995-01-27","1994-12-11","Mike Engles","John Hemmingway","","Maida Vale 3"
32,56,"1995-09-01","1995-08-26","","","","Reading Festival '95"
32,57,"1997-03-13","1997-01-24","Tony Worthington","","","Man 3"
32,58,"0000-00-00","1999-01-03","Mike Engles","Colin Marshall","","Maida Vale 3"
32,59,"0000-00-00","2002-03-03","Mike Engles","George Thomas","","Maida Vale 4"
33,60,"1979-10-17","1979-10-01","Tony Wilson","Bill Aitken","","Maida Vale 4"
33,61,"1981-07-02","1981-06-29","Tony Wilson","Dave Dade","","Langham 1"
33,62,"1982-12-01","1982-11-20","Dale Griffin","Martyn Parker","","Maida Vale 4"
34,63,"1981-05-12","1981-05-06","Chris Lycett","Nick Gomm","","Langham 1"
35,64,"1981-09-10","1981-09-05","Dale Griffin","Mike Robinson","","Maida Vale 4"
36,65,"1988-11-07","1988-10-30","Dale Griffin","Mike Engles","","The Hippodrome, Golders Green, London"
36,66,"1989-09-06","1989-08-06","Dale Griffin","Paul Allen","","Maida Vale 5"
36,67,"1995-07-08","0000-00-00","Unknown","Unknown","","Unknown"
37,68,"1991-02-03","1991-01-13","Dale Griffin","Miti Adhikari","","Maida Vale 3"
38,69,"1987-02-09","1987-01-25","Dale Griffin","Mike Engles","Fred Kay","Unknown"
38,70,"1992-03-13","1992-02-02","Dale Griffin","Mike Engles","Rachel Fisher","Maida Vale 3"
39,71,"1983-10-18","1983-10-12","Roger Pusey","Nick Gomm","","Maida Vale 4"
40,72,"2001-10-18","0000-00-00","Unknown","Unknown","","Maida Vale 4"
41,73,"1986-01-06","1985-12-15","Dale Griffin","Mike Engles","","Maida Vale 5"
41,74,"1986-12-09","1986-11-16","Dale Griffin","Nick Gomm","Fred Kay","Unknown"
41,75,"1988-01-19","1988-01-10","Dale Griffin","Mike Engles","Fred Kay","Unknown"
41,76,"1988-11-30","1988-11-20","Dale Griffin","Mike Engles","","The Hippodrome, Golders Green, London"
42,77,"2001-10-16","2001-09-10","Unknown","Unknown","","Unknown"
44,78,"1987-07-29","1987-07-19","Dale Griffin","Mike Shilling","Miti Athikari","Unknown"
45,79,"1976-06-21","1976-06-03","Tony Wilson","Unknown","","Maida Vale 4"
46,80,"1974-11-12","1974-10-22","Tony Wilson","Bill Aitken","","Maida Vale 4"
46,81,"1975-03-31","1975-03-25","Tony Wilson","Bill Aitken","","Maida Vale 4"
